t : Time (s)
A : Acceleration (m/s^2): X, Y, Z
G : Gyroscope    (rad/s): X, Y, Z
M : Magnetometer (uT): X, Y, Z

t	AX	AY	AZ	GX	GY	GZ	MX	MY	MZ
9.44315000000006	-4.996	-2.372	8.177	0.058	0.418	0.098	16.2	30.9	-36.0	
9.496550000000752	-4.675	-2.551	7.867	0.043	0.598	0.092	16.2	31.2	-36.3	
9.53418000000056	-4.357	-2.234	8.173	-0.059	0.349	0.275	16.2	31.2	-36.6	
9.563110000000052	-4.651	-2.556	7.901	0.208	0.511	0.039	16.8	32.4	-36.0	
9.60309000000052	-4.443	-2.828	8.842	-0.029	-0.185	0.036	17.1	32.4	-36.0	
9.654210000000603	-4.817	-3.272	8.35	-0.116	-0.254	-0.183	17.7	33.0	-36.0	
9.694400000000314	-5.037	-2.88	8.095	-0.068	-0.024	-0.206	18.0	32.7	-35.7	
9.737090000000535	-4.968	-2.36	8.6	-0.0	-0.112	-0.022	17.7	31.2	-36.0	
9.772770000000492	-4.92	-2.212	8.629	0.182	-0.139	-0.0	17.4	31.2	-36.0	
9.802950000000237	-4.877	-2.13	8.491	0.211	-0.196	0.031	16.8	31.5	-37.5	
9.8431700000001	-4.734	-2.07	8.243	0.13	-0.102	0.069	17.1	32.7	-37.2	
9.883150000000569	-4.561	-1.801	8.161	0.135	-0.0	0.14	17.4	32.4	-37.2	
9.9338400000006	-4.431	-1.866	8.179	0.167	0.073	0.182	18.0	32.1	-37.8	
9.972810000000209	-4.377	-2.149	8.338	0.179	0.046	0.13	17.7	30.6	-37.5	
10.00275000000056	-4.47	-2.428	8.327	0.061	-0.0	0.038	17.7	29.4	-37.5	
10.043150000000423	-4.538	-2.401	8.25	-0.0	-0.0	-0.086	17.1	29.7	-37.2	
10.096470000000409	-4.573	-2.07	8.371	-0.0	-0.026	-0.107	17.1	30.3	-37.2	
10.136170000000675	-4.714	-1.962	8.399	0.094	-0.043	-0.097	16.5	30.6	-37.5	
10.172489999999925	-4.72	-2.058	8.17	0.036	-0.0	-0.076	16.2	30.6	-37.5	
10.212490000000798	-4.721	-1.928	8.169	-0.0	0.091	-0.0	15.9	29.7	-37.8	
10.242490000000544	-4.66	-1.838	8.339	0.031	0.09	-0.0	17.1	28.8	-37.2	
10.294560000000274	-4.536	-1.892	8.527	0.031	-0.0	-0.0	17.4	28.5	-37.2	
10.337010000000191	-4.526	-1.962	8.391	0.053	-0.032	-0.0	17.4	29.1	-36.9	
10.372769999999946	-4.589	-2.01	8.31	0.039	0.029	-0.019	16.8	29.4	-36.9	
10.41635000000042	-4.627	-1.915	8.319	0.069	0.051	-0.079	17.1	30.3	-37.8	
10.45614999999998	-4.641	-1.794	8.171	0.196	0.227	-0.149	17.1	30.0	-38.4	
10.49265000000014	-4.658	-1.891	8.502	-0.071	0.174	0.075	16.8	30.3	-38.4	
10.533300000000054	-4.82	-2.075	8.681	-0.029	0.196	-0.019	16.8	30.3	-38.4	
10.572450000000572	-4.72	-1.724	8.98	0.106	-0.083	0.061	16.8	30.0	-38.7	
10.602750000000015	-4.936	-1.904	8.588	0.255	-0.141	0.053	17.4	29.7	-37.5	
10.643800000000738	-5.008	-2.085	8.156	0.223	-0.021	-0.0	17.1	29.1	-37.8	
10.696470000000772	-4.882	-1.808	8.112	0.163	0.048	0.064	17.7	29.4	-38.1	
10.736150000000634	-4.777	-1.557	8.019	0.135	0.165	0.053	17.4	28.8	-38.1	
10.77332000000024	-4.82	-0.938	8.159	0.346	0.256	0.129	17.7	28.5	-38.1	
